Single special character
" " → "%20"
"!" → "%21"
"#" → "%23"
"$" → "%24"
"%" → "%25"
"&" → "%26"
"'" → "%27"
"(" → "%28"
")" → "%29"
"*" → "%2A"
"+" → "%2B"
"," → "%2C"
"-" → "%2D"
"." → "%2E"
"/" → "%2F"
":" → "%3A"
";" → "%3B"
"=" → "%3D"
"?" → "%3F"
"@" → "%40"
"[" → "%5B"
"\\" → "%5C"
"]" → "%5D"
"^" → "%5E"
"_" → "%5F"
""→"%60"`
"{" → "%7B"
"|" → "%7C"
"}" → "%7D"
"~" → "%7E"
Mixed: letters/digits with specials
"hello world" → "hello%20world"
"foo bar baz" → "foo%20bar%20baz"
"a b" → "a%20b"
"hello!" → "hello%21"
"say \"hi\"\" → "say%20%22hi%22"
"100%" → "100%25"
"C#" → "C%23"
"AT&T" → "AT%26T"
"a+b=c" → "a%2Bb%3Dc"
"name=John" → "name%3DJohn"
"key=val&x=1" → "key%3Dval%26x%3D1"
"3.14" → "3%2E14"
"1,2,3" → "1%2C2%2C3"
"(test)" → "%28test%29"
"[1,2]" → "%5B1%2C2%5D"
"a/b/c" → "a%2Fb%2Fc"
"a:b" → "a%3Ab"
"foo;bar" → "foo%3Bbar"
"hello?" → "hello%3F"
"user@host" → "user%40host"
URL-like strings
"http://example.com" → "http%3A%2F%2Fexample%2Ecom"
"example.com/path" → "example%2Ecom%2Fpath"
"search?q=cats" → "search%3Fq%3Dcats"
"a=1&b=2" → "a%3D1%26b%3D2"
"page#section" → "page%23section"
"/index.html" → "%2Findex%2Ehtml"
"host:8080" → "host%3A8080"
"path/to/file.txt" → "path%2Fto%2Ffile%2Etxt"
"user:pass@host" → "user%3Apass%40host"
"file.name (1).txt" → "file%2Ename%20%281%29%2Etxt"
Edge cases
"\" → "\"
"a" → "a"
" " → "%20%20"
" a " → "%20%20a%20%20"
"!!!" → "%21%21%21"
" " → "%20%20%20"
"\t" → "%09"
"\n" → "%0A"
"\r" → "%0D"
"\x01" → "%01"
"\x1F" → "%1F"
"\x7F" → "%7F"
Longer realistic strings
"hello, world!" → "hello%2C%20world%21"
"first last" → "first%20last"
"foo (bar)" → "foo%20%28bar%29"
"price: $9.99" → "price%3A%20%249%2E99"
"2+2=4" → "2%2B2%3D4"
"a & b" → "a%20%26%20b"
"[hello world]" → "%5Bhello%20world%5D"
"it's a test" → "it%27s%20a%20test"
"C:\\Users\\foo" → "C%3A%5CUsers%5Cfoo"
"<tag>" → "%3Ctag%3E"
"1 + 1 = 2" → "1%20%2B%201%20%3D%202"
"a.b.c.d" → "a%2Eb%2Ec%2Ed"
"foo_bar" → "foo%5Fbar"
"100% done!" → "100%25%20done%21"
"name: \"Alice\"\" → "name%3A%20%22Alice%22"
"(a+b)*(c-d)" → "%28a%2Bb%29%2A%28c%2Dd%29"
"line1\nline2" → "line1%0Aline2"
"tab\there" → "tab%09here"
"https://www.google.com/search?q=python url encoding" → "https%3A%2F%2Fwww%2Egoogle%2Ecom%2Fsearch%3Fq%3Dpython%20url%20encoding"
"https://www.google.com/search?q=what is NLP?" → "https%3A%2F%2Fwww%2Egoogle%2Ecom%2Fsearch%3Fq%3Dwhat%20is%20NLP%3F"
"https://www.bing.com/search?q=C# programming" → "https%3A%2F%2Fwww%2Ebing%2Ecom%2Fsearch%3Fq%3DC%23%20programming"
"https://www.bing.com/search?q=price < $100" → "https%3A%2F%2Fwww%2Ebing%2Ecom%2Fsearch%3Fq%3Dprice%20%3C%20%24100"
"https://search.yahoo.com/search?p=AT&T stock price" → "https%3A%2F%2Fsearch%2Eyahoo%2Ecom%2Fsearch%3Fp%3DAT%26T%20stock%20price"
"https://duckduckgo.com/?q=100% natural" → "https%3A%2F%2Fduckduckgo%2Ecom%2F%3Fq%3D100%25%20natural"
"https://www.google.com/search?q=2+2=4" → "https%3A%2F%2Fwww%2Egoogle%2Ecom%2Fsearch%3Fq%3D2%2B2%3D4"
"https://www.google.com/search?q=hours & location" → "https%3A%2F%2Fwww%2Egoogle%2Ecom%2Fsearch%3Fq%3Dhours%20%26%20location"
"https://duckduckgo.com/?q=it's raining" → "https%3A%2F%2Fduckduckgo%2Ecom%2F%3Fq%3Dit%27s%20raining"
E-commerce and product pages
"https://shop.example.com/search?q=men's shoes" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fsearch%3Fq%3Dmen%27s%20shoes"
"https://shop.example.com/item?name=USB-C cable (2m)" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fitem%3Fname%3DUSB%2DC%20cable%20%282m%29"
"https://shop.example.com/filter?price=10.00&max=50.00" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Ffilter%3Fprice%3D10%2E00%26max%3D50%2E00"
"https://shop.example.com/search?q=shirt size=L&color=blue" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fsearch%3Fq%3Dshirt%20size%3DL%26color%3Dblue"
"https://shop.example.com/product?id=ABC_123" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fproduct%3Fid%3DABC%5F123"
"https://shop.example.com/cart?promo=SAVE10%" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fcart%3Fpromo%3DSAVE10%25"
"https://shop.example.com/search?q=(sale) jackets" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fsearch%3Fq%3D%28sale%29%20jackets"
"https://shop.example.com/review?title=Great product!" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Freview%3Ftitle%3DGreat%20product%21"
"https://shop.example.com/search?q=3.5mm headphone jack" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fsearch%3Fq%3D3%2E5mm%20headphone%20jack"
"https://shop.example.com/search?q=monitor 27\" 4K" → "https%3A%2F%2Fshop%2Eexample%2Ecom%2Fsearch%3Fq%3Dmonitor%2027%22%204K"
Authentication and user accounts
"https://auth.example.com/login?redirect=/dashboard/home" → "https%3A%2F%2Fauth%2Eexample%2Ecom%2Flogin%3Fredirect%3D%2Fdashboard%2Fhome"
"https://auth.example.com/reset?email=user@example.com" → "https%3A%2F%2Fauth%2Eexample%2Ecom%2Freset%3Femail%3Duser%40example%2Ecom"
"https://auth.example.com/register?ref=friend&code=XY#12" → "https%3A%2F%2Fauth%2Eexample%2Ecom%2Fregister%3Fref%3Dfriend%26code%3DXY%2312"
"https://auth.example.com/oauth?scope=read+write" → "https%3A%2F%2Fauth%2Eexample%2Ecom%2Foauth%3Fscope%3Dread%2Bwrite"
"https://auth.example.com/verify?token=abc.def.ghi" → "https%3A%2F%2Fauth%2Eexample%2Ecom%2Fverify%3Ftoken%3Dabc%2Edef%2Eghi"
File paths and content management
"https://files.example.com/upload?path=/docs/report 2024.pdf" → "https%3A%2F%2Ffiles%2Eexample%2Ecom%2Fupload%3Fpath%3D%2Fdocs%2Freport%202024%2Epdf"
"https://files.example.com/view?file=Q3 earnings (final).xlsx" → "https%3A%2F%2Ffiles%2Eexample%2Ecom%2Fview%3Ffile%3DQ3%20earnings%20%28final%29%2Exlsx"
"https://files.example.com/share?name=notes&version=1.0.1" → "https%3A%2F%2Ffiles%2Eexample%2Ecom%2Fshare%3Fname%3Dnotes%26version%3D1%2E0%2E1"
"https://cdn.example.com/assets/images/photo_001.jpg" → "https%3A%2F%2Fcdn%2Eexample%2Ecom%2Fassets%2Fimages%2Fphoto%5F001%2Ejpg"
"https://files.example.com/path?dir=C:\\Users\\admin\\docs" → "https%3A%2F%2Ffiles%2Eexample%2Ecom%2Fpath%3Fdir%3DC%3A%5CUsers%5Cadmin%5Cdocs"
APIs and developer endpoints
"https://api.example.com/v1/users?filter=active&sort=name" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fv1%2Fusers%3Ffilter%3Dactive%26sort%3Dname"
"https://api.example.com/query?sql=SELECT * FROM users" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fquery%3Fsql%3DSELECT%20%2A%20FROM%20users"
"https://api.example.com/data?range=2024-01-01/2024-12-31" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fdata%3Frange%3D2024%2D01%2D01%2F2024%2D12%2D31"
"https://api.example.com/msg?text=hello+world" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fmsg%3Ftext%3Dhello%2Bworld"
"https://api.example.com/calc?expr=(a+b)/c" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fcalc%3Fexpr%3D%28a%2Bb%29%2Fc"
"https://api.example.com/log?msg=error: null pointer @ line 42" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Flog%3Fmsg%3Derror%3A%20null%20pointer%20%40%20line%2042"
"https://api.example.com/search?q=title~\"intro\"\" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fsearch%3Fq%3Dtitle%7E%22intro%22"
"https://api.example.com/v2/report?id=rpt_001&fmt=json" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fv2%2Freport%3Fid%3Drpt%5F001%26fmt%3Djson"
"https://api.example.com/flag?val=true|false" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fflag%3Fval%3Dtrue%7Cfalse"
"https://api.example.com/cron?schedule=0 9 * * 1-5" → "https%3A%2F%2Fapi%2Eexample%2Ecom%2Fcron%3Fschedule%3D0%209%20%2A%20%2A%201%2D5"
Social and content platforms
"https://social.example.com/post?tag=#python" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fpost%3Ftag%3D%23python"
"https://social.example.com/share?text=Check this out!" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fshare%3Ftext%3DCheck%20this%20out%21"
"https://social.example.com/profile?name=john.doe" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fprofile%3Fname%3Djohn%2Edoe"
"https://social.example.com/msg?to=alice&body=hey, what's up?" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fmsg%3Fto%3Dalice%26body%3Dhey%2C%20what%27s%20up%3F"
"https://social.example.com/search?q=@mention" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fsearch%3Fq%3D%40mention"
"https://social.example.com/embed?url=https://other.com/video" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fembed%3Furl%3Dhttps%3A%2F%2Fother%2Ecom%2Fvideo"
"https://social.example.com/post?title=Hello & Welcome!" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fpost%3Ftitle%3DHello%20%26%20Welcome%21"
"https://social.example.com/bio?text=Loves C++ & Python" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fbio%3Ftext%3DLoves%20C%2B%2B%20%26%20Python"
"https://social.example.com/comment?id=42&reply=<3" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fcomment%3Fid%3D42%26reply%3D%3C3"
"https://social.example.com/event?name=Q&A Session" → "https%3A%2F%2Fsocial%2Eexample%2Ecom%2Fevent%3Fname%3DQ%26A%20Session"
Maps and location
"https://maps.example.com/dir?from=Seattle, WA&to=Portland, OR" → "https%3A%2F%2Fmaps%2Eexample%2Ecom%2Fdir%3Ffrom%3DSeattle%2C%20WA%26to%3DPortland%2C%20OR"
"https://maps.example.com/search?q=coffee shop (open now)" → "https%3A%2F%2Fmaps%2Eexample%2Ecom%2Fsearch%3Fq%3Dcoffee%20shop%20%28open%20now%29"
"https://maps.example.com/place?name=St. Mary's Church" → "https%3A%2F%2Fmaps%2Eexample%2Ecom%2Fplace%3Fname%3DSt%2E%20Mary%27s%20Church"
"https://maps.example.com/coords?loc=47.6062,-122.3321" → "https%3A%2F%2Fmaps%2Eexample%2Ecom%2Fcoords%3Floc%3D47%2E6062%2C%2D122%2E3321"
"https://maps.example.com/route?waypoints=A|B|C" → "https%3A%2F%2Fmaps%2Eexample%2Ecom%2Froute%3Fwaypoints%3DA%7CB%7CC"
Email and calendar
"https://mail.example.com/compose?to=boss@company.com&subject=Q3 Report" → "https%3A%2F%2Fmail%2Eexample%2Ecom%2Fcompose%3Fto%3Dboss%40company%2Ecom%26subject%3DQ3%20Report"
"https://mail.example.com/search?q=from:hr@company.com" → "https%3A%2F%2Fmail%2Eexample%2Ecom%2Fsearch%3Fq%3Dfrom%3Ahr%40company%2Ecom"
"https://cal.example.com/event?title=Team sync (weekly)&time=09:00" → "https%3A%2F%2Fcal%2Eexample%2Ecom%2Fevent%3Ftitle%3DTeam%20sync%20%28weekly%29%26time%3D09%3A00"
"https://cal.example.com/invite?note=Bring your laptop & charger" → "https%3A%2F%2Fcal%2Eexample%2Ecom%2Finvite%3Fnote%3DBring%20your%20laptop%20%26%20charger"
"https://mail.example.com/filter?rule=subject~\"[URGENT]\"\" → "https%3A%2F%2Fmail%2Eexample%2Ecom%2Ffilter%3Frule%3Dsubject%7E%22%5BURGENT%5D%22"
Developer tools and CI/CD
"https://github.example.com/repo?branch=feature/login-fix" → "https%3A%2F%2Fgithub%2Eexample%2Ecom%2Frepo%3Fbranch%3Dfeature%2Flogin%2Dfix"
"https://github.example.com/search?q=TODO: fix this" → "https%3A%2F%2Fgithub%2Eexample%2Ecom%2Fsearch%3Fq%3DTODO%3A%20fix%20this"
"https://ci.example.com/build?cmd=make && test" → "https%3A%2F%2Fci%2Eexample%2Ecom%2Fbuild%3Fcmd%3Dmake%20%26%26%20test"
"https://ci.example.com/log?path=/var/log/app.log" → "https%3A%2F%2Fci%2Eexample%2Ecom%2Flog%3Fpath%3D%2Fvar%2Flog%2Fapp%2Elog"
"https://ci.example.com/env?var=PATH=/usr/bin:/usr/local/bin" → "https%3A%2F%2Fci%2Eexample%2Ecom%2Fenv%3Fvar%3DPATH%3D%2Fusr%2Fbin%3A%2Fusr%2Flocal%2Fbin"
"https://docs.example.com/api?anchor=#section-2.1" → "https%3A%2F%2Fdocs%2Eexample%2Ecom%2Fapi%3Fanchor%3D%23section%2D2%2E1"
"https://registry.example.com/pkg?name=my_module&ver=2.0.0" → "https%3A%2F%2Fregistry%2Eexample%2Ecom%2Fpkg%3Fname%3Dmy%5Fmodule%26ver%3D2%2E0%2E0"
"https://ci.example.com/trigger?msg=deploy: hotfix #42" → "https%3A%2F%2Fci%2Eexample%2Ecom%2Ftrigger%3Fmsg%3Ddeploy%3A%20hotfix%20%2342"
"https://github.example.com/issue?title=[BUG] crash on startup" → "https%3A%2F%2Fgithub%2Eexample%2Ecom%2Fissue%3Ftitle%3D%5BBUG%5D%20crash%20on%20startup"
"https://ci.example.com/badge?label=build&status=passing (main)" → "https%3A%2F%2Fci%2Eexample%2Ecom%2Fbadge%3Flabel%3Dbuild%26status%3Dpassing%20%28main%29"
Analytics and reporting
"https://analytics.example.com/report?range=2024-01-01&end=2024-03-31" → "https%3A%2F%2Fanalytics%2Eexample%2Ecom%2Freport%3Frange%3D2024%2D01%2D01%26end%3D2024%2D03%2D31"
"https://analytics.example.com/funnel?steps=landing>signup>purchase" → "https%3A%2F%2Fanalytics%2Eexample%2Ecom%2Ffunnel%3Fsteps%3Dlanding%3Esignup%3Epurchase"
"https://analytics.example.com/event?name=click&label=buy now!" → "https%3A%2F%2Fanalytics%2Eexample%2Ecom%2Fevent%3Fname%3Dclick%26label%3Dbuy%20now%21"
"https://analytics.example.com/utm?source=email&medium=newsletter (april)" → "https%3A%2F%2Fanalytics%2Eexample%2Ecom%2Futm%3Fsource%3Demail%26medium%3Dnewsletter%20%28april%29"
"https://analytics.example.com/kpi?metric=revenue/user" → "https%3A%2F%2Fanalytics%2Eexample%2Ecom%2Fkpi%3Fmetric%3Drevenue%2Fuser"
News, blogs, and wikis
"https://news.example.com/search?q=AI & machine learning" → "https%3A%2F%2Fnews%2Eexample%2Ecom%2Fsearch%3Fq%3DAI%20%26%20machine%20learning"
"https://blog.example.com/post?slug=what-is-nlp?" → "https%3A%2F%2Fblog%2Eexample%2Ecom%2Fpost%3Fslug%3Dwhat%2Dis%2Dnlp%3F"
"https://wiki.example.com/page?title=C++ (programming language)" → "https%3A%2F%2Fwiki%2Eexample%2Ecom%2Fpage%3Ftitle%3DC%2B%2B%20%28programming%20language%29"
"https://wiki.example.com/edit?section=History & background" → "https%3A%2F%2Fwiki%2Eexample%2Ecom%2Fedit%3Fsection%3DHistory%20%26%20background"
"https://news.example.com/rss?feed=tech&since=2024-04-01T09:00" → "https%3A%2F%2Fnews%2Eexample%2Ecom%2Frss%3Ffeed%3Dtech%26since%3D2024%2D04%2D01T09%3A00"
Healthcare and forms
"https://portal.clinic.com/appt?name=John Doe&dob=1985-03-22" → "https%3A%2F%2Fportal%2Eclinic%2Ecom%2Fappt%3Fname%3DJohn%20Doe%26dob%3D1985%2D03%2D22"
"https://portal.clinic.com/intake?note=pain level: 7/10" → "https%3A%2F%2Fportal%2Eclinic%2Ecom%2Fintake%3Fnote%3Dpain%20level%3A%207%2F10"
"https://portal.clinic.com/rx?drug=ibuprofen (400mg)" → "https%3A%2F%2Fportal%2Eclinic%2Ecom%2Frx%3Fdrug%3Dibuprofen%20%28400mg%29"
"https://portal.clinic.com/lab?test=HbA1c&result=>5.7%" → "https%3A%2F%2Fportal%2Eclinic%2Ecom%2Flab%3Ftest%3DHbA1c%26result%3D%3E5%2E7%25"
"https://portal.clinic.com/form?q=Do you smoke? (yes/no)" → "https%3A%2F%2Fportal%2Eclinic%2Ecom%2Fform%3Fq%3DDo%20you%20smoke%3F%20%28yes%2Fno%29"
Travel and booking
"https://travel.example.com/search?from=NYC&to=LAX&date=2024-12-25" → "https%3A%2F%2Ftravel%2Eexample%2Ecom%2Fsearch%3Ffrom%3DNYC%26to%3DLAX%26date%3D2024%2D12%2D25"
"https://travel.example.com/hotel?name=The Grand (downtown)" → "https%3A%2F%2Ftravel%2Eexample%2Ecom%2Fhotel%3Fname%3DThe%20Grand%20%28downtown%29"
"https://travel.example.com/confirm?ref=BK#00492" → "https%3A%2F%2Ftravel%2Eexample%2Ecom%2Fconfirm%3Fref%3DBK%2300492"
"https://travel.example.com/filter?amenities=pool&wifi&price<200" → "https%3A%2F%2Ftravel%2Eexample%2Ecom%2Ffilter%3Famenities%3Dpool%26wifi%26price%3C200"
"https://travel.example.com/promo?code=SUMMER50%" → "https%3A%2F%2Ftravel%2Eexample%2Ecom%2Fpromo%3Fcode%3DSUMMER50%25"
Miscellaneous edge cases in URL context
"https://example.com/path?note=line1\nline2" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fnote%3Dline1%0Aline2"
"https://example.com/path?note=col1\tcol2" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fnote%3Dcol1%09col2"
"https://example.com/path?val= leading space" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fval%3D%20leading%20space"
"https://example.com/path?val=trailing space " → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fval%3Dtrailing%20space%20"
"https://example.com/path?x=a~b" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fx%3Da%7Eb"
"https://example.com/path?expr=a^2+b^2=c^2" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fexpr%3Da%5E2%2Bb%5E2%3Dc%5E2"
"https://example.com/path?json={\"key\":\"val\"}" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fjson%3D%7B%22key%22%3A%22val%22%7D"
"https://example.com/path?cmd=ls -la /home/user" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fcmd%3Dls%20%2Dla%20%2Fhome%2Fuser"
"https://example.com/path?regex=[A-Z]{2,4}" → "https%3A%2F%2Fexample%2Ecom%2Fpath%3Fregex%3D%5BA%2DZ%5D%7B2%2C4%7D"
